# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\wild-type_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
ELM1_2_p_r2	0.4114942528735632	0.37192118226600984	0.3306878306878307	0.31054131054131057	0.2953846153846154	0.31333333333333335	0.39492753623188404	0.4624505928853755	0.5584415584415584	0.6952380952380952	0.7105263157894737	0.41514170040485826	0.2953846153846154	0.0236	27.58620687999999	0.0	0.0
PLM2_1_p_r1	0.14942528735632185	0.22167487684729065	0.335978835978836	0.4700854700854701	0.5938461538461538	0.7033333333333334	0.7898550724637681	0.8181818181818182	0.7229437229437229	0.638095238095238	0.5526315789473685	0.6687565308254964	0.14942528735632185	0.0	0.0	0.0	1.0
PLM2_1_p_r2	0.12643678160919541	0.09113300492610837	0.17989417989417988	0.301994301994302	0.4523076923076923	0.6133333333333333	0.7355072463768116	0.8142292490118577	0.8917748917748918	0.8571428571428571	0.7526315789473684	0.8006418868487835	0.09113300492610837	0.0	6.896551719999998	1.0	0.0
PLM2_2_p_r1	0.18850574712643678	0.20689655172413793	0.32275132275132273	0.47293447293447294	0.6307692307692307	0.79	0.8768115942028986	0.841897233201581	0.7532467532467533	0.6142857142857143	0.4842105263157895	0.6883058470764618	0.18850574712643678	0.0	0.0	0.0	0.0
PLM2_2_p_r2	0.2413793103448276	0.1724137931034483	0.21693121693121692	0.31339031339031337	0.4646153846153846	0.62	0.7391304347826086	0.8102766798418972	0.8701298701298701	0.8428571428571429	0.7421052631578947	0.6977160770264218	0.1724137931034483	0.0	6.896551719999998	0.0	0.0
CIC1_1_p_r1	0.5126436781609195	0.5197044334975369	0.5502645502645502	0.5584045584045584	0.5476923076923077	0.5266666666666666	0.5615942028985508	0.5889328063241107	0.5411255411255411	0.5190476190476191	0.531578947368421	0.07628912816319122	0.5126436781609195	0.9998	0.0	0.0	0.0
CIC1_1_p_r2	0.37471264367816093	0.30295566502463056	0.28835978835978837	0.2792022792022792	0.3046153846153846	0.3466666666666667	0.42028985507246375	0.4505928853754941	0.4805194805194805	0.5190476190476191	0.531578947368421	0.25237666816614185	0.2792022792022792	0.0098	20.689655159999994	1.0	1.0
CIC1_2_p_r1	0.5517241379310345	0.5689655172413793	0.5661375661375662	0.5470085470085471	0.49538461538461537	0.45666666666666667	0.4963768115942029	0.549407114624506	0.6190476190476191	0.5952380952380952	0.5210526315789473	0.1623809523809524	0.45666666666666667	0.9674	34.48275859999999	0.0	0.0
CIC1_2_p_r2	0.42528735632183906	0.3669950738916256	0.335978835978836	0.2934472934472934	0.3046153846153846	0.37333333333333335	0.4673913043478261	0.5533596837944664	0.6536796536796536	0.6619047619047619	0.6	0.36845746845746846	0.2934472934472934	0.0222	20.689655159999994	0.0	0.0
SWE1_1_p_r2	0.47586206896551725	0.3645320197044335	0.2566137566137566	0.16524216524216523	0.2	0.30666666666666664	0.4420289855072464	0.5849802371541502	0.7272727272727273	0.819047619047619	0.8421052631578947	0.6768630979157295	0.16524216524216523	0.0	20.689655159999994	1.0	1.0
SWE1_2_p_r1	0.4436781609195402	0.3620689655172414	0.2804232804232804	0.23076923076923078	0.24	0.30333333333333334	0.4057971014492754	0.525691699604743	0.6190476190476191	0.6857142857142857	0.7315789473684211	0.5008097165991903	0.23076923076923078	0.0008	20.689655159999994	0.0	0.0
UME6_1_p_r1	0.4160919540229885	0.3275862068965517	0.2857142857142857	0.2621082621082621	0.2676923076923077	0.32	0.35507246376811596	0.3952569169960474	0.47186147186147187	0.5571428571428572	0.6578947368421053	0.3957864747338432	0.2621082621082621	0.0035	20.689655159999994	1.0	1.0
UME6_1_p_r2	0.4482758620689655	0.4236453201970443	0.373015873015873	0.3162393162393162	0.2953846153846154	0.3	0.358695652173913	0.4189723320158103	0.4805194805194805	0.5238095238095238	0.5263157894736842	0.23093117408906877	0.2953846153846154	0.0258	27.58620687999999	0.0	0.0
UME6_2_p_r1	0.5287356321839081	0.5246305418719212	0.5396825396825397	0.5128205128205128	0.48615384615384616	0.44666666666666666	0.4166666666666667	0.383399209486166	0.3463203463203463	0.32857142857142857	0.3	0.23968253968253966	0.3	0.026	68.96551719999998	0.0	0.0
UME6_2_p_r2	0.4160919540229885	0.39655172413793105	0.3941798941798942	0.41025641025641024	0.42153846153846153	0.43333333333333335	0.4673913043478261	0.4743083003952569	0.4675324675324675	0.4666666666666667	0.5	0.10582010582010581	0.3941798941798942	0.5594	13.793103439999996	0.0	0.0
SWI4_1_p_r1	0.3931034482758621	0.33497536945812806	0.2698412698412698	0.23931623931623933	0.28307692307692306	0.36	0.41304347826086957	0.48221343873517786	0.5974025974025974	0.7047619047619048	0.7473684210526316	0.5080521817363922	0.23931623931623933	0.0011	20.689655159999994	0.0	0.0
SWI4_1_p_r2	0.5540229885057472	0.45320197044334976	0.3386243386243386	0.21652421652421652	0.12	0.15666666666666668	0.2717391304347826	0.45454545454545453	0.6320346320346321	0.7380952380952381	0.8105263157894737	0.6905263157894737	0.12	0.0	27.58620687999999	1.0	1.0
SWI4_2_p_r1	0.4367816091954023	0.35714285714285715	0.28835978835978837	0.22792022792022792	0.21846153846153846	0.27	0.35144927536231885	0.4268774703557312	0.5281385281385281	0.638095238095238	0.7210526315789474	0.5025910931174089	0.21846153846153846	0.0003	27.58620687999999	0.0	0.0
SWI4_2_p_r2	0.5586206896551724	0.43842364532019706	0.3148148148148148	0.19373219373219372	0.12923076923076923	0.18666666666666668	0.2898550724637681	0.4308300395256917	0.5670995670995671	0.6619047619047619	0.7578947368421053	0.628663967611336	0.12923076923076923	0.0	27.58620687999999	0.0	0.0
SWI4_3_p_r1	0.42528735632183906	0.35960591133004927	0.2830687830687831	0.2535612535612536	0.26461538461538464	0.2966666666666667	0.3442028985507246	0.43478260869565216	0.5367965367965368	0.6238095238095238	0.6684210526315789	0.41485979907032533	0.2535612535612536	0.0032	20.689655159999994	0.0	0.0
SWI4_3_p_r2	0.5586206896551724	0.49014778325123154	0.43386243386243384	0.3732193732193732	0.36	0.36333333333333334	0.40217391304347827	0.5098814229249012	0.5627705627705628	0.5904761904761905	0.5789473684210527	0.2304761904761905	0.36	0.2476	27.58620687999999	0.0	0.0
SWI6_1_p_r1	0.4	0.3891625615763547	0.3915343915343915	0.39316239316239315	0.41846153846153844	0.48	0.5362318840579711	0.5217391304347826	0.5064935064935064	0.5190476190476191	0.5473684210526316	0.1582058594762769	0.3891625615763547	0.5103	6.896551719999998	0.0	0.0
