pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
STB1	2	r1	medium	0.021642273	0.018261455	0.014113211	0.019291516	0.005751632	0.0158120174	0.00624891656621852	0.395200461025203
STB1	2	r2	medium	0.057207362	0.034635432	0.013810823	0.013689377	0.025613195	0.0289912378	0.0180555372644959	0.622792906913962
STB1	3	r1	medium	NA	0.111190659	0.037499816	0.012492823	0.021646622	23.8333333333333	37.1505944322115	1.55876619995293
STB1	3	r2	medium	0.063443862	0.05449889	0.015925535	0.116878279	0.075309856	0.0652112844	0.0364637619733535	0.559163376536002
SWE1	1	r2	medium	0	0.001394642	0.000480154	0.000886402	0	0.0005522396	0.000599257832331627	1.08514100099237
SWE1	2	r1	low	0.054038651	0.086222732	0.019982797	0.036178823	0.043952955	0.0480751916	0.0246905687530717	0.51358232658758
SWI4	1	r1	high	0.024064566	0.022482071	0.02508799	0.023320946	0.024228809	0.0238368764	0.000983923371826943	0.0412773618202318
SWI4	1	r2	high	0.029052585	0.027146689	0.027553257	0.027255842	0.026907427	0.02758316	0.000853575291683164	0.0309455222564479
SWI4	2	r1	high	0.006461154	0.009829103	0.012592679	0.012614371	0.010580202	0.0104155018	0.00252898114617304	0.242809342721542
SWI4	2	r2	high	0.01886407	0.01739873	0.020585115	0.020084413	0.01834909	0.0190562836	0.00129218113141591	0.0678086639839842
SWI4	3	r1	high	0.013314086	0.011462879	0.014805857	0.014214182	0.014437019	0.0136468046	0.00133884195025638	0.0981066256533326
SWI4	3	r2	medium	0.04014869	0.040602549	0.040859818	0.04382576	0.040142583	0.04111588	0.00154558157533936	0.0375908669676864
SWI5	1	r1	high	0.001963697	0.00208248	0.001405916	0.001641376	0.001722975	0.0017632888	0.000267511551264053	0.151711705572027
SWI5	1	r2	high	0.008695063	0.013325896	0.009821806	0.008958665	0.006457093	0.0094517046	0.00249647888249576	0.264130015499613
SWI5	3	r1	high	0.000405752	0.000521117	0.000493887	0.00040656	0.000542741	0.0004740114	6.43171283430783e-05	0.135686880828348
