	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1404800	0.700001	0.9582491444216292	0.07414940943921601	3.8160462030554325	48896378707277.33
PF3D7_1009700	0.078377	0.10729226557152637	0.6680367990420074	34.38003498295308	50195168425050.98
PF3D7_1475800	0.478547	0.6550951403148529	0.11143167772483248	5.734751414716588	53022225203151.78
PF3D7_1436800	0.156283	0.21393976728268316	0.3415916025663049	17.57976695737997	53201440060267.72
PF3D7_0931800	0.480677	0.6580109514031486	0.11143167772483248	5.734751414716588	53733381620236.92
PF3D7_1458400	0.7306520000000001	1.000208076659822	0.07414940943921601	3.8160462030554325	55604816043573.56
PF3D7_0612500	0.733615	1.0042642026009585	0.07414940943921601	3.8160462030554325	56284042264969.336
PF3D7_0212700	0.49002700000000005	0.6708104038329912	0.11143167772483248	5.734751414716588	56930387357125.016
PF3D7_0710000	0.22855	0.3128678986995209	0.2389465165704005	12.29721118735642	56951786274242.76
PF3D7_0608000	0.491913	0.6733921971252568	0.11143167772483248	5.734751414716588	57590255031527.55
PF3D7_0608600	0.115007	0.1574360027378508	0.4810985075880909	24.759389819309945	59231059130692.74
PF3D7_1405300	0.339945	0.4653593429158112	0.16453699804109032	8.467778656437543	61189346637421.195
PF3D7_0103900	0.08405499999999999	0.1150650239561944	0.6680367990420074	34.38003498295308	61912984613889.89
PF3D7_0724300	0.087031	0.11913894592744695	0.6680367990420074	34.38003498295308	68724375028707.24
PF3D7_0512400	0.80038	1.0956605065023957	0.07414940943921601	3.8160462030554325	73091906064421.55
PF3D7_1246800	0.173867	0.2380109514031485	0.3415916025663049	17.57976695737997	73255093953541.67
PF3D7_0305000	0.250297	0.3426379192334018	0.2389465165704005	12.29721118735642	74804869332514.64
PF3D7_1428700	0.5424140000000001	0.7425242984257358	0.11143167772483248	5.734751414716588	77210542310036.53
PF3D7_0710200	0.253889	0.34755509924709105	0.2389465165704005	12.29721118735642	78071852942070.81
PF3D7_1222300	0.369906	0.5063737166324436	0.16453699804109032	8.467778656437543	78835832490696.16
PF3D7_1031300	0.370703	0.5074647501711157	0.16453699804109032	8.467778656437543	79346509285024.11
PF3D7_1327600	0.822991	1.1266132785763177	0.07414940943921601	3.8160462030554325	79463161880920.17
PF3D7_0824400	0.178878	0.24487063655030805	0.3415916025663049	17.57976695737997	79773145293332.17
PF3D7_0729100	0.179412	0.2456016427104723	0.3415916025663049	17.57976695737997	80489706519955.1
PF3D7_0523100	0.8347399999999999	1.1426967830253252	0.07414940943921601	3.8160462030554325	82915218507792.34
PF3D7_1356900	0.8480610000000001	1.1609322381930185	0.07414940943921601	3.8160462030554325	86948448953134.53
PF3D7_1441400	0.570398	0.7808323066392882	0.11143167772483248	5.734751414716588	89787905029217.11
PF3D7_1418300	0.063915	0.08749486652977413	1.0	51.464283153645844	91310817254065.86
PF3D7_0209300	0.09663300000000001	0.1322833675564682	0.6680367990420074	34.38003498295308	94071807288514.34
PF3D7_0515800	0.18976400000000002	0.2597727583846681	0.3415916025663049	17.57976695737997	95241580940403.02
PF3D7_1102700	0.272293	0.3727488021902807	0.2389465165704005	12.29721118735642	96310090891460.77
PF3D7_1316200	0.8941450000000001	1.2240177960301164	0.07414940943921601	3.8160462030554325	101907087317081.02
PF3D7_0506500	0.908551	1.2437385352498291	0.07414940943921601	3.8160462030554325	106912492579720.14
PF3D7_1459800	0.60722	0.8312388774811773	0.11143167772483248	5.734751414716588	108323323180058.33
PF3D7_1405000	0.913401	1.2503778234086245	0.07414940943921601	3.8160462030554325	108633799144724.53
