# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\clb1-6_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
SWE1_1_p_r2	0.42857142857142855	0.3561253561253561	0.3507692307692308	0.3933333333333333	0.4963768115942029	0.5019762845849802	0.5021645021645021	0.5380952380952381	0.6157894736842106	0.7251461988304093	0.6928104575163399	0.37437696806117854	0.3507692307692308	0.2403	13.793103459999998	1.0	1.0
PDS1_2_p_r1	0.6666666666666666	0.6695156695156695	0.68	0.6966666666666667	0.677536231884058	0.6561264822134387	0.6233766233766234	0.5952380952380952	0.5789473684210527	0.5730994152046783	0.5620915032679739	0.1345751633986928	0.5620915032679739	1.0	68.96551729999999	0.0	0.0
PDS1_2_p_r2	0.6587301587301587	0.6951566951566952	0.6707692307692308	0.6333333333333333	0.6159420289855072	0.541501976284585	0.46320346320346323	0.45714285714285713	0.43157894736842106	0.4269005847953216	0.39869281045751637	0.29646388469917884	0.39869281045751637	0.6534	68.96551729999999	0.0	0.0
PDS1_3_p_r1	0.6481481481481481	0.6638176638176638	0.6123076923076923	0.57	0.5615942028985508	0.5177865612648221	0.47619047619047616	0.4380952380952381	0.3526315789473684	0.3391812865497076	0.40522875816993464	0.32463637726795624	0.3391812865497076	0.1647	62.06896556999999	1.0	1.0
PDS1_3_p_r2	0.5343915343915344	0.5128205128205128	0.4553846153846154	0.36666666666666664	0.36231884057971014	0.39920948616600793	0.47619047619047616	0.5714285714285714	0.5947368421052631	0.6023391812865497	0.5228758169934641	0.24002034070683959	0.36231884057971014	0.3052	27.586206919999995	0.0	0.0
PCL2_2_p_r1	0.17724867724867724	0.18233618233618235	0.16615384615384615	0.18333333333333332	0.20652173913043478	0.2134387351778656	0.18181818181818182	0.19523809523809524	0.17894736842105263	0.15789473684210525	0.23529411764705882	0.07739938080495357	0.15789473684210525	0.0	62.06896556999999	1.0	1.0
PCL2_2_p_r2	0.2619047619047619	0.2535612535612536	0.2676923076923077	0.31333333333333335	0.35144927536231885	0.33201581027667987	0.31601731601731603	0.3523809523809524	0.42105263157894735	0.4619883040935672	0.39215686274509803	0.20842705053231364	0.2535612535612536	0.0059	6.896551729999999	0.0	0.0
PLM2_1_p_r1	0.5608465608465608	0.47293447293447294	0.37846153846153846	0.3233333333333333	0.3442028985507246	0.30434782608695654	0.341991341991342	0.4380952380952381	0.47368421052631576	0.5146198830409356	0.5163398692810458	0.2564987347596043	0.30434782608695654	0.052	34.482758649999994	0.0	0.0
PLM2_1_p_r2	0.4894179894179894	0.38746438746438744	0.2923076923076923	0.21666666666666667	0.2210144927536232	0.2845849802371542	0.33766233766233766	0.40476190476190477	0.5052631578947369	0.5906432748538012	0.6666666666666666	0.44999999999999996	0.21666666666666667	0.0011	20.689655189999996	1.0	1.0
PLM2_2_p_r1	0.5634920634920635	0.5071225071225072	0.4338461538461538	0.37	0.37318840579710144	0.35968379446640314	0.354978354978355	0.38571428571428573	0.3631578947368421	0.34502923976608185	0.3790849673202614	0.21846282372598164	0.34502923976608185	0.202	62.06896556999999	0.0	0.0
PLM2_2_p_r2	0.5079365079365079	0.42735042735042733	0.35384615384615387	0.2833333333333333	0.2644927536231884	0.30039525691699603	0.2857142857142857	0.2857142857142857	0.37894736842105264	0.49707602339181284	0.5620915032679739	0.29759874964478544	0.2644927536231884	0.0106	27.586206919999995	0.0	0.0
FKH2_1_p_r1	0.4947089947089947	0.4472934472934473	0.4	0.37	0.39855072463768115	0.4268774703557312	0.47186147186147187	0.4857142857142857	0.39473684210526316	0.3391812865497076	0.35947712418300654	0.15552770815928713	0.3391812865497076	0.1674	62.06896556999999	1.0	1.0
FKH2_1_p_r2	0.5158730158730159	0.5042735042735043	0.4584615384615385	0.4066666666666667	0.358695652173913	0.383399209486166	0.38095238095238093	0.44761904761904764	0.48947368421052634	0.52046783625731	0.49019607843137253	0.16177218408339694	0.358695652173913	0.2891	27.586206919999995	0.0	0.0
FKH2_2_p_r1	0.5740740740740741	0.5783475783475783	0.563076923076923	0.5333333333333333	0.5108695652173914	0.4308300395256917	0.4329004329004329	0.5	0.5105263157894737	0.4678362573099415	0.5163398692810458	0.14751753882188662	0.4308300395256917	0.8806	34.482758649999994	0.0	0.0
FKH2_2_p_r2	0.40476190476190477	0.452991452991453	0.48923076923076925	0.5333333333333333	0.5615942028985508	0.6126482213438735	0.6190476190476191	0.638095238095238	0.6	0.5087719298245614	0.45098039215686275	0.23333333333333328	0.40476190476190477	0.7005	0.0	0.0	0.0
SWI4_1_p_r1	0.5529100529100529	0.5299145299145299	0.47384615384615386	0.47	0.47101449275362317	0.42292490118577075	0.38095238095238093	0.38571428571428573	0.38421052631578945	0.4327485380116959	0.5163398692810458	0.17195767195767198	0.38095238095238093	0.4884	41.37931037999999	0.0	0.0
SWI4_1_p_r2	0.5529100529100529	0.4472934472934473	0.4246153846153846	0.43666666666666665	0.41304347826086957	0.33992094861660077	0.27705627705627706	0.2761904761904762	0.3526315789473684	0.47953216374269003	0.5424836601307189	0.2767195767195767	0.2761904761904762	0.0176	48.27586210999999	0.0	0.0
SWI4_2_p_r1	0.49206349206349204	0.5441595441595442	0.5292307692307693	0.49	0.43478260869565216	0.37549407114624506	0.36363636363636365	0.3952380952380952	0.37894736842105264	0.38011695906432746	0.40522875816993464	0.1805231805231805	0.36363636363636365	0.3362	41.37931037999999	0.0	0.0
SWI4_2_p_r2	0.5343915343915344	0.46438746438746437	0.4276923076923077	0.4033333333333333	0.38768115942028986	0.30039525691699603	0.20346320346320346	0.19523809523809524	0.3	0.4327485380116959	0.5424836601307189	0.3472455648926237	0.19523809523809524	0.0002	48.27586210999999	1.0	1.0
